Config_ID,State_ID,Agent,Sims,Threads,Chosen_Move_Idx,Oracle_Score,Time_Ms
12,1,VirtualLoss,500,4,25,0.5132,4.4180
12,2,VirtualLoss,500,4,27,0.2754,5.0461
12,3,VirtualLoss,500,4,65,0.6143,4.6178
12,4,VirtualLoss,500,4,25,0.3540,4.6404
12,5,VirtualLoss,500,4,77,0.5556,4.7492
12,6,VirtualLoss,500,4,18,0.4737,4.2023
12,7,VirtualLoss,500,4,62,0.6813,4.9015
12,8,VirtualLoss,500,4,120,0.3819,4.0585
12,9,VirtualLoss,500,4,37,0.5223,4.6497
13,0,VirtualLoss,500,8,52,0.5229,2.6156
13,1,VirtualLoss,500,8,125,0.6842,5.6532
13,2,VirtualLoss,500,8,27,0.2754,5.4203
13,3,VirtualLoss,500,8,26,0.9143,6.0673
13,4,VirtualLoss,500,8,107,0.4513,3.9891
13,5,VirtualLoss,500,8,79,0.5333,2.3377
13,6,VirtualLoss,500,8,40,0.4803,2.7009
13,7,VirtualLoss,500,8,78,0.7125,4.1964
13,8,VirtualLoss,500,8,49,0.3065,2.2125
13,9,VirtualLoss,500,8,250,0.6051,3.8376
14,0,WuUct,500,2,45,0.6928,6.4910
14,1,WuUct,500,2,18,0.4605,6.4674
14,2,WuUct,500,2,117,0.4012,6.1695
14,3,WuUct,500,2,20,0.5357,6.2188
14,4,WuUct,500,2,23,0.3407,6.0620
14,5,WuUct,500,2,37,0.7407,6.3577
14,6,WuUct,500,2,18,0.4737,5.8566
14,7,WuUct,500,2,61,0.5563,6.5301
14,8,WuUct,500,2,25,0.4573,5.9529
14,9,WuUct,500,2,30,0.5287,6.4933
15,0,WuUct,500,4,36,0.4837,3.1360
15,1,WuUct,500,4,18,0.4605,3.2904
15,2,WuUct,500,4,38,0.3892,3.1861
15,3,WuUct,500,4,26,0.9143,3.4268
15,4,WuUct,500,4,188,0.1814,3.3068
15,5,WuUct,500,4,18,0.4222,3.5302
15,6,WuUct,500,4,23,0.6974,3.1575
15,7,WuUct,500,4,66,0.7188,3.5283
15,8,WuUct,500,4,53,0.5176,2.9569
15,9,WuUct,500,4,29,0.5096,3.5318
16,0,WuUct,500,8,70,0.6144,3.8624
16,1,WuUct,500,8,31,0.4079,6.3309
16,2,WuUct,500,8,21,0.4611,6.3432
16,3,WuUct,500,8,22,0.9214,7.3524
16,4,WuUct,500,8,23,0.3407,10.4448
16,5,WuUct,500,8,63,0.6444,3.0282
16,6,WuUct,500,8,19,0.6118,4.1417
16,7,WuUct,500,8,24,0.4688,2.7311
16,8,WuUct,500,8,63,0.3819,3.6406
16,9,WuUct,500,8,21,0.5223,3.3445
17,0,Sequential,1000,1,19,0.5359,24.3749
17,1,Sequential,1000,1,261,0.7895,23.7938
17,2,Sequential,1000,1,208,0.5150,25.3075
17,3,Sequential,1000,1,115,0.7714,25.4917
17,4,Sequential,1000,1,190,0.7611,24.2345
17,5,Sequential,1000,1,229,0.6444,25.1910
17,6,Sequential,1000,1,124,0.7105,24.7815
17,7,Sequential,1000,1,64,0.5750,28.1072
17,8,Sequential,1000,1,227,0.3065,23.2928
17,9,Sequential,1000,1,48,0.4841,25.4966
18,0,Leaf,1000,2,148,0.4183,13.2096
18,1,Leaf,1000,2,266,0.5132,13.0028
18,2,Leaf,1000,2,160,0.5329,13.5843
18,3,Leaf,1000,2,29,0.7214,13.5032
18,4,Leaf,1000,2,61,0.5265,13.8569
18,5,Leaf,1000,2,109,0.9333,13.8003
18,6,Leaf,1000,2,81,0.6908,13.0287
18,7,Leaf,1000,2,223,0.4875,14.2911
18,8,Leaf,1000,2,53,0.5176,13.0416
18,9,Leaf,1000,2,70,0.4522,14.8916
19,0,Leaf,1000,4,40,0.7451,9.7807
19,1,Leaf,1000,4,259,0.7632,8.9142
19,2,Leaf,1000,4,180,0.6587,9.3514
19,3,Leaf,1000,4,22,0.9214,9.5110
19,4,Leaf,1000,4,38,0.5133,9.3703
19,5,Leaf,1000,4,115,0.8148,9.7858
19,6,Leaf,1000,4,35,0.4079,8.9318
19,7,Leaf,1000,4,79,0.6438,9.6507
19,8,Leaf,1000,4,189,0.4874,8.0840
19,9,Leaf,1000,4,35,0.4586,8.0350
20,0,Leaf,1000,8,21,0.5752,113.4262
20,1,Leaf,1000,8,18,0.4605,7.0000
20,2,Leaf,1000,8,19,0.4671,17.4846
20,3,Leaf,1000,8,30,0.6429,10.5748
20,4,Leaf,1000,8,23,0.3407,7.2302
20,5,Leaf,1000,8,23,0.7407,6.3746
20,6,Leaf,1000,8,44,0.5000,12.0068
20,7,Leaf,1000,8,32,0.4813,6.9764
20,8,Leaf,1000,8,42,0.4774,7.6502
20,9,Leaf,1000,8,21,0.5223,9.4938
21,0,Root,1000,2,39,0.4706,16.3284
21,1,Root,1000,2,61,0.4474,15.4398
21,2,Root,1000,2,23,0.5569,14.0527
21,3,Root,1000,2,74,0.6571,12.1892
21,4,Root,1000,2,19,0.3407,11.7712
21,5,Root,1000,2,214,0.8889,13.3414
21,6,Root,1000,2,92,0.5724,11.7669
21,7,Root,1000,2,180,0.3688,13.5463
21,8,Root,1000,2,31,0.6633,11.1062
